Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
и	None	None	1	12558	9665	10	1	54305.100	34000.324	1.000	1.000	1266.048	0.099
на	None	None	2	4521	4644	10	1	19550.355	16337.041	1.000	1.000	75.042	0.038
не	None	None	3	3978	4324	10	1	17202.237	15211.319	1.000	1.000	31.786	0.033
что	None	None	4	3333	3372	10	1	14413.035	11862.296	1.000	1.000	64.302	0.028
он	None	None	5	3176	1413	10	1	13734.113	4970.766	1.000	1.000	1117.596	0.027
а	None	None	6	2771	2033	10	1	11982.755	7151.853	1.000	1.000	320.226	0.023
я	None	None	7	2516	836	10	1	10880.047	2940.949	1.000	1.000	1271.848	0.021
как	None	None	8	2076	1778	10	1	8977.336	6254.793	1.000	1.000	126.499	0.018
но	None	None	9	1662	1484	10	1	7187.058	5220.536	1.000	1.000	80.759	0.014
то	None	None	10	1509	1429	10	1	6525.434	5027.053	1.000	1.000	50.214	0.013
у	None	None	11	1428	888	10	1	6175.162	3123.879	1.000	1.000	264.345	0.012
все	None	None	11	1382	1083	10	1	5976.242	3809.866	1.000	1.000	124.880	0.012
было	None	None	13	1261	781	10	1	5452.997	2747.465	1.000	1.000	235.613	0.011
за	None	None	13	1249	1145	10	1	5401.104	4027.974	1.000	1.000	51.679	0.011
она	None	None	15	1130	483	10	1	4886.508	1699.137	1.000	1.000	418.962	0.010
они	None	None	15	1168	698	10	1	5050.833	2455.481	1.000	1.000	237.375	0.010
его	None	None	15	1148	1076	10	1	4964.346	3785.240	1.000	1.000	41.015	0.010
сказал	None	None	18	1032	143	10	1	4462.722	503.057	1.000	1.000	956.671	0.009
так	None	None	18	1083	864	10	1	4683.263	3039.450	1.000	1.000	90.933	0.009
когда	None	None	20	889	537	10	1	3844.341	1889.102	1.000	1.000	176.097	0.008
очень	None	None	21	761	369	10	1	3290.825	1298.098	1.000	1.000	232.284	0.007
был	None	None	21	762	613	10	1	3295.149	2156.461	1.000	1.000	61.716	0.007
незнайка	None	None	23	692	0	10	0	2992.445	0.000	1.000	0.000	1110.646	0.006
всё	None	None	24	555	38	10	1	2400.010	133.679	1.000	1.000	653.413	0.005
тут	None	None	24	549	166	10	1	2374.064	583.968	1.000	1.000	303.371	0.005
меня	None	None	24	530	173	10	1	2291.902	608.593	1.000	1.000	271.543	0.005
потом	None	None	24	551	193	10	1	2382.713	678.951	1.000	1.000	261.788	0.005
него	None	None	24	589	224	10	1	2547.038	788.005	1.000	1.000	254.247	0.005
вот	None	None	24	541	255	10	1	2339.470	897.060	1.000	1.000	172.852	0.005
ему	None	None	24	558	291	10	1	2412.983	1023.703	1.000	1.000	149.792	0.005
папа	None	None	31	457	30	9	1	1976.225	105.536	0.900	1.000	543.546	0.004
мне	None	None	31	436	215	10	1	1885.414	756.344	1.000	1.000	129.235	0.004
под	None	None	31	434	342	10	1	1876.765	1203.115	1.000	1.000	38.230	0.004
была	None	None	31	448	373	10	1	1937.306	1312.170	1.000	1.000	31.119	0.004
даже	None	None	31	487	419	10	1	2105.955	1473.992	1.000	1.000	28.827	0.004
были	None	None	31	469	402	10	1	2028.117	1414.188	1.000	1.000	28.296	0.004
нильс	None	None	37	388	2	9	1	1677.845	7.036	0.900	1.000	599.747	0.003
элли	None	None	37	370	0	10	0	1600.007	0.000	1.000	0.000	593.558	0.003
ещё	None	None	37	354	20	9	1	1530.817	70.358	0.900	1.000	435.609	0.003
мама	None	None	37	357	25	10	1	1543.790	87.947	1.000	1.000	417.767	0.003
сказала	None	None	37	327	45	10	1	1414.060	158.305	1.000	1.000	303.639	0.003
вдруг	None	None	37	357	80	10	1	1543.790	281.431	1.000	1.000	251.799	0.003
тоже	None	None	37	389	148	10	1	1682.169	520.646	1.000	1.000	167.742	0.003
совсем	None	None	37	293	99	10	1	1267.033	348.270	1.000	1.000	144.690	0.003
